frame,class_name,confidence,bbox,centroid,velocity,car_count,motorcycle_count,ambulance_count,truck_count,others_count
0,"['car', 'car', 'car', 'car', 'car', 'traffic light', 'traffic light', 'car', 'car', 'car', 'car', 'car']",5.780000000000001,"['[1344, 591, 1692, 740]', '[882, 543, 1360, 815]', '[376, 559, 502, 663]', '[497, 567, 570, 629]', '[585, 566, 720, 661]', '[1009, 336, 1034, 401]', '[1010, 340, 1033, 401]', '[373, 560, 502, 664]', '[580, 567, 722, 661]', '[829, 590, 900, 641]', '[344, 580, 392, 615]', '[775, 585, 833, 630]']","['(1518, 665)', '(1121, 679)', '(439, 611)', '(533, 598)', '(652, 613)', '(1021, 368)', '(1021, 370)', '(437, 612)', '(651, 614)', '(864, 615)', '(368, 597)', '(804, 607)']",0.0,10,0,0,0,0
1,"['car', 'car', 'car', 'car', 'car', 'traffic light', 'car', 'traffic light', 'car', 'car', 'car']",5.57,"['[1351, 590, 1672, 738]', '[896, 543, 1394, 823]', '[373, 559, 502, 663]', '[497, 567, 571, 629]', '[585, 567, 724, 661]', '[1009, 336, 1034, 401]', '[372, 560, 502, 664]', '[1010, 340, 1033, 401]', '[825, 590, 902, 640]', '[581, 567, 725, 661]', '[774, 585, 834, 630]']","['(1511, 664)', '(1145, 683)', '(437, 611)', '(534, 598)', '(654, 614)', '(1021, 368)', '(437, 612)', '(1021, 370)', '(863, 615)', '(653, 614)', '(804, 607)']",26845.89,9,0,0,0,0
2,"['car', 'car', 'car', 'car', 'car', 'car', 'traffic light', 'traffic light', 'car']",5.18,"['[1350, 591, 1653, 737]', '[908, 541, 1432, 835]', '[371, 558, 502, 663]', '[497, 568, 573, 629]', '[586, 568, 726, 661]', '[370, 559, 503, 664]', '[1009, 336, 1034, 401]', '[1010, 340, 1034, 401]', '[583, 567, 727, 661]']","['(1501, 664)', '(1170, 688)', '(436, 610)', '(535, 598)', '(656, 614)', '(436, 611)', '(1021, 368)', '(1022, 370)', '(655, 614)']",7502.27,7,0,0,0,0
3,"['car', 'car', 'car', 'car', 'car', 'car', 'traffic light', 'car', 'traffic light', 'car']",5.380000000000001,"['[1337, 591, 1637, 733]', '[929, 542, 1476, 845]', '[368, 558, 500, 664]', '[494, 568, 573, 629]', '[588, 568, 732, 661]', '[368, 559, 501, 664]', '[1008, 336, 1034, 401]', '[894, 596, 950, 644]', '[1010, 340, 1034, 401]', '[585, 568, 733, 662]']","['(1487, 662)', '(1202, 693)', '(434, 611)', '(533, 598)', '(660, 614)', '(434, 611)', '(1021, 368)', '(922, 620)', '(1022, 370)', '(659, 615)']",9887.62,8,0,0,0,0
4,"['car', 'car', 'car', 'car', 'traffic light', 'car', 'car', 'car', 'car', 'traffic light', 'car', 'car']",5.81,"['[1346, 591, 1616, 730]', '[946, 544, 1519, 858]', '[496, 568, 575, 630]', '[366, 557, 500, 663]', '[1009, 336, 1034, 401]', '[367, 559, 501, 664]', '[587, 568, 736, 662]', '[584, 568, 735, 662]', '[894, 596, 957, 645]', '[1010, 341, 1034, 401]', '[826, 591, 899, 638]', '[771, 586, 833, 630]']","['(1481, 660)', '(1232, 701)', '(535, 599)', '(433, 610)', '(1021, 368)', '(434, 611)', '(661, 615)', '(659, 615)', '(925, 620)', '(1022, 371)', '(862, 614)', '(802, 608)']",38469.75,10,0,0,0,0
5,"['car', 'car', 'car', 'car', 'car', 'car', 'traffic light', 'person', 'traffic light', 'car', 'car', 'car', 'car']",6.259999999999999,"['[963, 544, 1565, 866]', '[1364, 591, 1601, 719]', '[498, 568, 575, 630]', '[365, 556, 500, 663]', '[595, 568, 735, 662]', '[366, 557, 501, 664]', '[1009, 336, 1034, 401]', '[1585, 604, 1614, 682]', '[1010, 340, 1034, 401]', '[906, 599, 977, 650]', '[892, 597, 969, 646]', '[826, 591, 900, 638]', '[771, 585, 834, 630]']","['(1264, 705)', '(1482, 655)', '(536, 599)', '(432, 609)', '(665, 615)', '(433, 610)', '(1021, 368)', '(1599, 643)', '(1022, 370)', '(941, 624)', '(930, 621)', '(863, 614)', '(802, 607)']",36789.990000000005,10,0,0,0,1
6,"['car', 'car', 'car', 'person', 'car', 'car', 'traffic light', 'car', 'traffic light', 'car', 'car']",5.42,"['[963, 544, 1620, 881]', '[498, 568, 575, 630]', '[363, 556, 499, 663]', '[1580, 605, 1615, 692]', '[363, 557, 500, 663]', '[599, 569, 741, 664]', '[1009, 336, 1034, 401]', '[893, 598, 965, 644]', '[1010, 340, 1034, 401]', '[908, 599, 981, 648]', '[825, 591, 899, 638]']","['(1291, 712)', '(536, 599)', '(431, 609)', '(1597, 648)', '(431, 610)', '(670, 616)', '(1021, 368)', '(929, 621)', '(1022, 370)', '(944, 623)', '(862, 614)']",49767.19,8,0,0,0,1
7,"['car', 'car', 'car', 'car', 'traffic light', 'car', 'car', 'traffic light', 'car', 'person', 'car']",5.160000000000001,"['[1001, 544, 1675, 900]', '[498, 568, 576, 630]', '[363, 555, 499, 663]', '[362, 557, 501, 664]', '[1009, 337, 1034, 401]', '[599, 568, 748, 665]', '[893, 598, 960, 643]', '[1010, 341, 1034, 400]', '[906, 600, 989, 647]', '[1585, 605, 1615, 668]', '[826, 591, 899, 638]']","['(1338, 722)', '(537, 599)', '(431, 609)', '(431, 610)', '(1021, 369)', '(673, 616)', '(926, 620)', '(1022, 370)', '(947, 623)', '(1600, 636)', '(862, 614)']",2145.36,8,0,0,0,1
8,"['car', 'car', 'car', 'car', 'car', 'car', 'traffic light', 'car', 'traffic light', 'car']",5.449999999999999,"['[1027, 543, 1744, 916]', '[499, 568, 577, 630]', '[941, 576, 1085, 693]', '[362, 555, 499, 663]', '[600, 568, 750, 665]', '[361, 556, 501, 663]', '[1009, 336, 1034, 400]', '[892, 598, 971, 644]', '[1010, 340, 1034, 400]', '[827, 591, 899, 638]']","['(1385, 729)', '(538, 599)', '(1013, 634)', '(430, 609)', '(675, 616)', '(431, 609)', '(1021, 368)', '(931, 621)', '(1022, 370)', '(863, 614)']",34397.08,8,0,0,0,0
9,"['car', 'car', 'car', 'car', 'car', 'traffic light', 'car', 'car', 'traffic light']",5.26,"['[1047, 542, 1820, 932]', '[933, 578, 1107, 699]', '[501, 568, 577, 630]', '[604, 568, 753, 666]', '[362, 555, 500, 664]', '[1008, 336, 1034, 400]', '[360, 556, 502, 664]', '[892, 596, 959, 643]', '[1010, 340, 1034, 400]']","['(1433, 737)', '(1020, 638)', '(539, 599)', '(678, 617)', '(431, 609)', '(1021, 368)', '(431, 610)', '(925, 619)', '(1022, 370)']",45167.28,7,0,0,0,0
