frame,class_name,confidence,bbox,centroid,velocity,car_count,truck_count,motorcycle_count,ambulance_count,others_count
0,"['car', 'car', 'car', 'car', 'car', 'car', 'truck', 'truck', 'car', 'car', 'car', 'truck', 'car', 'car', 'car', 'car', 'car', 'truck']",0.87,"['[761, 1371, 1435, 1984]', '[1156, 1309, 1642, 1795]', '[2194, 1169, 2781, 1742]', '[2041, 874, 2425, 1217]', '[1240, 1015, 1750, 1427]', '[1, 691, 362, 979]', '[2292, 1697, 3337, 2147]', '[2123, 455, 2418, 712]', '[1287, 832, 1665, 1076]', '[476, 1957, 1182, 2151]', '[2237, 1055, 2671, 1264]', '[280, 538, 610, 875]', '[1404, 661, 1681, 830]', '[1482, 785, 1795, 1067]', '[598, 587, 814, 781]', '[2232, 808, 2555, 1058]', '[483, 1958, 1182, 2150]', '[1665, 478, 1852, 633]']","['(1098, 1677)', '(1399, 1552)', '(2487, 1455)', '(2233, 1045)', '(1495, 1221)', '(181, 835)', '(2814, 1922)', '(2270, 583)', '(1476, 954)', '(829, 2054)', '(2454, 1159)', '(445, 706)', '(1542, 745)', '(1638, 926)', '(706, 684)', '(2393, 933)', '(832, 2054)', '(1758, 555)']",0.0,14,4,0,0,0
1,"['car', 'car', 'car', 'car', 'car', 'car', 'car', 'truck', 'truck', 'car', 'car', 'truck', 'car', 'car', 'car', 'car', 'truck', 'car']",0.86,"['[761, 1374, 1432, 1996]', '[2196, 1174, 2779, 1745]', '[1152, 1312, 1643, 1795]', '[1239, 1014, 1748, 1422]', '[2041, 876, 2426, 1220]', '[511, 1963, 1178, 2153]', '[1, 693, 367, 978]', '[2124, 455, 2418, 711]', '[2292, 1700, 3333, 2146]', '[1286, 833, 1665, 1078]', '[2238, 1057, 2673, 1252]', '[280, 538, 612, 874]', '[1406, 662, 1680, 829]', '[1483, 785, 1794, 1067]', '[599, 589, 815, 781]', '[2235, 810, 2556, 1058]', '[1665, 478, 1852, 635]', '[2123, 696, 2428, 875]']","['(1096, 1685)', '(2487, 1459)', '(1397, 1553)', '(1493, 1218)', '(2233, 1048)', '(844, 2058)', '(184, 835)', '(2271, 583)', '(2812, 1923)', '(1475, 955)', '(2455, 1154)', '(446, 706)', '(1543, 745)', '(1638, 926)', '(707, 685)', '(2395, 934)', '(1758, 556)', '(2275, 785)']",247.39,14,4,0,0,0
2,"['car', 'car', 'car', 'car', 'car', 'car', 'car', 'truck', 'car', 'car', 'truck', 'truck', 'car', 'car', 'car', 'car']",0.84,"['[759, 1379, 1429, 2004]', '[2196, 1177, 2781, 1749]', '[1151, 1318, 1644, 1802]', '[2040, 877, 2427, 1224]', '[1237, 1019, 1747, 1431]', '[484, 1979, 1160, 2152]', '[5, 693, 373, 976]', '[2123, 453, 2418, 715]', '[1284, 835, 1666, 1076]', '[2238, 1060, 2677, 1265]', '[2293, 1706, 3337, 2146]', '[282, 535, 615, 873]', '[1408, 661, 1680, 832]', '[601, 587, 816, 780]', '[2234, 812, 2559, 1062]', '[1471, 784, 1793, 1067]']","['(1094, 1691)', '(2488, 1463)', '(1397, 1560)', '(2233, 1050)', '(1492, 1225)', '(822, 2065)', '(189, 834)', '(2270, 584)', '(1475, 955)', '(2457, 1162)', '(2815, 1926)', '(448, 704)', '(1544, 746)', '(708, 683)', '(2396, 937)', '(1632, 925)']",189.74,13,3,0,0,0
3,"['car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'truck', 'car', 'truck', 'car', 'truck', 'car', 'car', 'truck', 'car', 'car']",0.85,"['[2192, 1178, 2786, 1753]', '[754, 1388, 1427, 2008]', '[1147, 1325, 1642, 1816]', '[2041, 882, 2429, 1226]', '[1237, 1022, 1748, 1432]', '[11, 688, 377, 974]', '[501, 1997, 1135, 2153]', '[2236, 1065, 2693, 1262]', '[2121, 454, 2418, 716]', '[1285, 837, 1666, 1076]', '[2297, 1714, 3336, 2146]', '[2239, 814, 2560, 1068]', '[291, 532, 617, 871]', '[604, 587, 822, 778]', '[1406, 661, 1680, 822]', '[1666, 478, 1853, 640]', '[1453, 786, 1792, 1070]', '[1542, 579, 1806, 816]']","['(2489, 1465)', '(1090, 1698)', '(1394, 1570)', '(2235, 1054)', '(1492, 1227)', '(194, 831)', '(818, 2075)', '(2464, 1163)', '(2269, 585)', '(1475, 956)', '(2816, 1930)', '(2399, 941)', '(454, 701)', '(713, 682)', '(1543, 741)', '(1759, 559)', '(1622, 928)', '(1674, 697)']",42395.65,14,4,0,0,0
4,"['car', 'car', 'car', 'car', 'car', 'car', 'car', 'truck', 'car', 'truck', 'car', 'car', 'car', 'truck', 'car', 'car', 'truck', 'car']",0.86,"['[2189, 1184, 2787, 1755]', '[750, 1393, 1427, 2022]', '[1149, 1326, 1643, 1827]', '[1233, 1025, 1749, 1437]', '[2039, 883, 2429, 1228]', '[503, 2003, 1131, 2152]', '[16, 686, 378, 972]', '[2121, 454, 2419, 714]', '[2238, 1067, 2691, 1260]', '[2297, 1718, 3337, 2146]', '[1285, 837, 1667, 1075]', '[2240, 813, 2561, 1069]', '[606, 588, 821, 777]', '[294, 531, 618, 869]', '[1405, 661, 1679, 824]', '[1462, 785, 1793, 1068]', '[1665, 478, 1852, 639]', '[1544, 579, 1806, 812]']","['(2488, 1469)', '(1088, 1707)', '(1396, 1576)', '(1491, 1231)', '(2234, 1055)', '(817, 2077)', '(197, 829)', '(2270, 584)', '(2464, 1163)', '(2817, 1932)', '(1476, 956)', '(2400, 941)', '(713, 682)', '(456, 700)', '(1542, 742)', '(1627, 926)', '(1758, 558)', '(1675, 695)']",123.69,14,4,0,0,0
5,"['car', 'car', 'car', 'car', 'car', 'car', 'truck', 'car', 'car', 'car', 'truck', 'car', 'truck', 'truck', 'car', 'car', 'car', 'car', 'car']",0.85,"['[743, 1400, 1424, 2025]', '[1231, 1029, 1745, 1444]', '[1138, 1333, 1641, 1830]', '[2190, 1190, 2786, 1762]', '[2041, 883, 2426, 1230]', '[20, 682, 387, 972]', '[2120, 454, 2422, 717]', '[486, 2014, 1122, 2151]', '[2240, 1068, 2692, 1262]', '[1285, 838, 1666, 1073]', '[2297, 1735, 3341, 2145]', '[2243, 813, 2558, 1074]', '[294, 533, 624, 868]', '[1666, 477, 1852, 638]', '[1468, 788, 1794, 1076]', '[1400, 661, 1679, 822]', '[1542, 580, 1804, 812]', '[754, 569, 895, 694]', '[608, 587, 822, 775]']","['(1083, 1712)', '(1488, 1236)', '(1389, 1581)', '(2488, 1476)', '(2233, 1056)', '(203, 827)', '(2271, 585)', '(804, 2082)', '(2466, 1165)', '(1475, 955)', '(2819, 1940)', '(2400, 943)', '(459, 700)', '(1759, 557)', '(1631, 932)', '(1539, 741)', '(1673, 696)', '(824, 631)', '(715, 681)']",42775.77,15,4,0,0,0
6,"['car', 'car', 'car', 'car', 'car', 'car', 'truck', 'truck', 'car', 'truck', 'car', 'car', 'car', 'truck', 'car', 'car', 'car', 'car']",0.85,"['[2195, 1195, 2791, 1765]', '[742, 1409, 1422, 2037]', '[1226, 1033, 1744, 1447]', '[2041, 883, 2429, 1232]', '[1128, 1339, 1638, 1836]', '[30, 679, 393, 970]', '[2123, 454, 2421, 717]', '[2298, 1745, 3344, 2143]', '[2238, 1072, 2687, 1267]', '[301, 534, 630, 868]', '[1288, 842, 1665, 1074]', '[2244, 811, 2558, 1079]', '[485, 2029, 1105, 2153]', '[1666, 477, 1853, 640]', '[2229, 1065, 2689, 1357]', '[1540, 580, 1799, 801]', '[756, 568, 898, 692]', '[1389, 665, 1676, 847]']","['(2493, 1480)', '(1082, 1723)', '(1485, 1240)', '(2235, 1057)', '(1383, 1587)', '(211, 824)', '(2272, 585)', '(2821, 1944)', '(2462, 1169)', '(465, 701)', '(1476, 958)', '(2401, 945)', '(795, 2091)', '(1759, 558)', '(2459, 1211)', '(1669, 690)', '(827, 630)', '(1532, 756)']",42868.77,14,4,0,0,0
7,"['car', 'car', 'car', 'car', 'car', 'car', 'truck', 'truck', 'car', 'car', 'car', 'car', 'truck', 'car', 'car']",0.82,"['[733, 1410, 1423, 2044]', '[1225, 1035, 1743, 1449]', '[2197, 1201, 2790, 1769]', '[2041, 884, 2431, 1235]', '[1125, 1339, 1638, 1838]', '[31, 675, 395, 969]', '[2123, 455, 2421, 715]', '[2299, 1750, 3349, 2144]', '[488, 2037, 1093, 2152]', '[2229, 1068, 2694, 1367]', '[1294, 843, 1666, 1074]', '[2244, 814, 2561, 1080]', '[1666, 477, 1853, 639]', '[1463, 787, 1792, 1076]', '[1539, 579, 1799, 801]']","['(1078, 1727)', '(1484, 1242)', '(2493, 1485)', '(2236, 1059)', '(1381, 1588)', '(213, 822)', '(2272, 585)', '(2824, 1947)', '(790, 2094)', '(2461, 1217)', '(1480, 958)', '(2402, 947)', '(1759, 558)', '(1627, 931)', '(1669, 690)']",43091.89,12,3,0,0,0
8,"['car', 'car', 'car', 'car', 'car', 'car', 'truck', 'car', 'car', 'truck', 'truck', 'car', 'car', 'truck', 'car', 'car', 'car', 'car', 'car', 'car', 'car']",0.85,"['[2194, 1206, 2794, 1782]', '[733, 1417, 1415, 2049]', '[1223, 1036, 1744, 1451]', '[1125, 1346, 1637, 1846]', '[2041, 885, 2434, 1239]', '[42, 676, 399, 967]', '[2122, 455, 2423, 718]', '[1285, 845, 1666, 1072]', '[2244, 815, 2561, 1085]', '[305, 531, 636, 866]', '[2299, 1760, 3350, 2144]', '[2227, 1075, 2689, 1372]', '[619, 583, 838, 773]', '[1666, 477, 1853, 638]', '[1384, 666, 1675, 855]', '[0, 854, 53, 1109]', '[761, 570, 915, 694]', '[1540, 580, 1797, 780]', '[1465, 784, 1790, 1068]', '[2117, 692, 2435, 884]', '[2241, 820, 2552, 1042]']","['(2494, 1494)', '(1074, 1733)', '(1483, 1243)', '(1381, 1596)', '(2237, 1062)', '(220, 821)', '(2272, 586)', '(1475, 958)', '(2402, 950)', '(470, 698)', '(2824, 1952)', '(2458, 1223)', '(728, 678)', '(1759, 557)', '(1529, 760)', '(26, 981)', '(838, 632)', '(1668, 680)', '(1627, 926)', '(2276, 788)', '(2396, 931)']",43051.25,17,4,0,0,0
9,"['car', 'car', 'car', 'car', 'car', 'car', 'truck', 'truck', 'car', 'car', 'car', 'truck', 'car', 'car', 'car', 'truck', 'car', 'car', 'car']",0.85,"['[2191, 1206, 2796, 1792]', '[1223, 1039, 1742, 1453]', '[721, 1425, 1416, 2062]', '[1117, 1353, 1639, 1850]', '[2040, 887, 2433, 1243]', '[50, 676, 403, 966]', '[2123, 455, 2424, 709]', '[313, 531, 637, 864]', '[621, 582, 834, 773]', '[2229, 1074, 2696, 1382]', '[1286, 847, 1666, 1077]', '[2304, 1766, 3372, 2144]', '[1385, 668, 1675, 856]', '[2243, 820, 2563, 1091]', '[1465, 785, 1790, 1068]', '[1666, 476, 1852, 640]', '[762, 571, 915, 694]', '[0, 801, 59, 1111]', '[491, 2057, 1069, 2151]']","['(2493, 1499)', '(1482, 1246)', '(1068, 1743)', '(1378, 1601)', '(2236, 1065)', '(226, 821)', '(2273, 582)', '(475, 697)', '(727, 677)', '(2462, 1228)', '(1476, 962)', '(2838, 1955)', '(1530, 762)', '(2403, 955)', '(1627, 926)', '(1759, 558)', '(838, 632)', '(29, 956)', '(780, 2104)']",152.97,15,4,0,0,0
